"(u'Liquid Hungrybox',)","(u'[A] Armada',)","(u'C9 Mang0',)","(u'PG Plup',)","(u'MVG FOX Mew2King',)","(u'TSM RB Leffen',)","(u'Tempo Axe',)","(u'CLG. SFAT',)","(u'Frys Wizzrobe',)","(u'Tempo S2J',)","(u'Liquid ChuDat',)","(u'Balance Druggedfox',)","(u'Lucky',)","(u'IMT Shroomed',)","(u'MSF La Luna',)","(u'G2 Westballz',)","(u'Duck',)","(u'EGtv Crush',)","(u'RNG Swedish Delight',)","(u'EMG n0ne',)","(u'HugS',)","(u'Zain',)","(u'CLG. PewPewU',)","(u'VGBC aMSa',)","(u'beast coast MikeHaze',)","(u'KirbyKaze',)","(u'ERG Ryan Ford',)","(u'dizzkidboogie',)","(u'lloD',)","(u'El Fuego',)","(u'SS Colbol',)","(u'KJH',)","(u'vL Trif',)","(u'Slox',)","(u'LG Ice',)","(u'Balance Syrox',)","(u'Bladewise',)","(u'Asterion Amsah',)","(u'SPY Nintendude',)","(u'Prince F. Abu',)","(u'Professor Pro',)","(u'VGBC Rishi',)","(u'Hax',)","(u'Kage',)","(u'GHQ Kels',)","(u'Medz',)","(u'[A] Android',)","(u'Ginger',)","(u'20GX Gahtzu',)","(u'Captain Smuckers',)","(u'Laudandus',)","(u'Abate',)","(u'FatGoku',)","(u'Top Shelf ARMY',)","(u'Captain Faceroll',)","(u'Darkatma',)","(u'Rocky',)","(u'Cactuar',)","(u'Liquid Chillindude',)","(u'Drunksloth',)","(u'homemadewaffles',)","(u'Azusa',)","(u'Squid',)","(u'Rik',)","(u'iBDW',)","(u'DJ Nintendo',)","(u'VGz Junebug',)","(u'Sloth Darktooth',)","(u'Moky',)","(u'Legend',)","(u'AbsentPage',)","(u'Drephen',)","(u'k Cal',)","(u'Redd',)","(u'Kaeon',)","(u'MVG | King Momo',)","(u'HTC Mafia',)","(u'RCS KPAN',)","(u'SPY MacD',)","(u'Entropy Luigi Ka-Master',)","(u'Iceman',)","(u'Mojo',)","(u'Spark',)","(u'Spire Reeve',)","(u'Bobby Frizz',)","(u'Jerry',)","(u'Kalamazhu',)","(u'TGL Blea Gelo',)","(u'OES MilkMan',)","(u'Zealous5000',)","(u'L',)","(u'Trulliam',)","(u'MKSF Ryobeat',)","(u'mayb',)","(u'Sharkz',)","(u'BOXR Zhu',)","(u'Bananas',)","(u'Zgetto',)","(u'lovage805',)","(u'EMG Nightmare',)"
"Liquid Hungrybox","x","1 & 3","3 & 5","6 & 4","8 & 6","4 & 3","2 & 0","3 & 1","4 & 2","3 & 0","3 & 0","4 & 0","4 & 1","1 & 0","2 & 0","3 & 0","5 & 0","1 & 0","3 & 0","2 & 0","4 & 0","2 & 0","2 & 0","0 & 0","0 & 0","2 & 0","1 & 0","0 & 0","0 & 0","0 & 0","4 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","1 & 0","0 & 0","1 & 0","1 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","2 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0"
"[A] Armada","3 & 1","x","5 & 2","0 & 0","2 & 0","5 & 1","1 & 0","0 & 0","0 & 0","2 & 0","3 & 0","1 & 0","1 & 0","1 & 0","0 & 0","2 & 0","2 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","2 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0"
"C9 Mang0","5 & 3","2 & 5","x","2 & 1","3 & 1","2 & 1","1 & 2","1 & 0","2 & 0","1 & 0","1 & 3","1 & 0","1 & 0","1 & 0","1 & 0","0 & 0","1 & 0","1 & 0","1 & 0","0 & 0","1 & 0","0 & 0","2 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 1","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"PG Plup","4 & 6","0 & 0","1 & 2","x","1 & 5","3 & 1","3 & 0","2 & 1","2 & 0","2 & 1","1 & 0","1 & 0","0 & 0","0 & 2","2 & 0","3 & 0","2 & 0","0 & 0","1 & 1","1 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","2 & 0","1 & 1","0 & 0","0 & 0","2 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","2 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","1 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"MVG FOX Mew2King","6 & 8","0 & 2","1 & 3","5 & 1","x","3 & 1","3 & 1","3 & 2","3 & 1","2 & 1","1 & 3","1 & 0","1 & 0","2 & 0","3 & 0","3 & 0","0 & 0","0 & 0","0 & 0","0 & 1","2 & 0","1 & 0","3 & 0","1 & 0","2 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","3 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0"
"TSM RB Leffen","3 & 4","1 & 5","1 & 2","1 & 3","1 & 3","x","3 & 0","2 & 2","0 & 0","2 & 0","2 & 0","1 & 1","1 & 0","2 & 0","1 & 1","2 & 0","1 & 1","2 & 0","0 & 0","2 & 0","1 & 0","0 & 1","3 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","2 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"Tempo Axe","0 & 2","0 & 1","2 & 1","0 & 3","1 & 3","0 & 3","x","3 & 5","1 & 0","2 & 0","0 & 1","1 & 1","1 & 0","4 & 0","3 & 0","0 & 0","2 & 3","1 & 0","1 & 2","1 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","1 & 0","2 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","4 & 2","1 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"CLG. SFAT","1 & 3","0 & 0","0 & 1","1 & 2","2 & 3","2 & 2","5 & 3","x","0 & 3","1 & 1","3 & 1","1 & 2","3 & 3","3 & 0","3 & 3","4 & 5","2 & 1","1 & 0","4 & 0","2 & 0","2 & 1","2 & 1","4 & 1","0 & 0","0 & 1","1 & 0","0 & 0","3 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 1","1 & 0","3 & 0","0 & 0","0 & 0","2 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 1","0 & 1","2 & 0","1 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"Frys Wizzrobe","2 & 4","0 & 0","0 & 2","0 & 2","1 & 3","0 & 0","0 & 1","3 & 0","x","0 & 0","1 & 1","4 & 0","1 & 1","0 & 1","2 & 0","0 & 1","1 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 2","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0"
"Tempo S2J","0 & 3","0 & 2","0 & 1","1 & 2","1 & 2","0 & 2","0 & 2","1 & 1","0 & 0","x","0 & 1","1 & 2","0 & 4","2 & 3","0 & 3","1 & 3","1 & 0","0 & 0","1 & 1","2 & 1","7 & 1","1 & 0","1 & 1","0 & 0","3 & 1","0 & 0","0 & 0","1 & 1","0 & 0","0 & 0","2 & 0","0 & 0","1 & 0","0 & 0","2 & 0","0 & 0","0 & 2","1 & 0","2 & 0","0 & 1","2 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","7 & 0","3 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","3 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0"
"Liquid ChuDat","0 & 3","0 & 3","3 & 1","0 & 1","3 & 1","0 & 2","1 & 0","1 & 3","1 & 1","1 & 0","x","0 & 2","0 & 0","1 & 1","1 & 1","1 & 0","0 & 0","1 & 1","0 & 0","0 & 0","1 & 0","0 & 1","0 & 0","0 & 0","1 & 0","1 & 0","1 & 0","2 & 0","0 & 0","0 & 0","0 & 1","0 & 0","1 & 0","2 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 2","0 & 0","0 & 0","2 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"Balance Druggedfox","0 & 4","0 & 1","0 & 1","0 & 1","0 & 1","1 & 1","1 & 1","2 & 1","0 & 4","2 & 1","2 & 0","x","2 & 0","0 & 0","1 & 1","2 & 0","0 & 0","3 & 0","3 & 0","0 & 1","2 & 2","1 & 0","0 & 0","0 & 1","0 & 0","1 & 0","4 & 0","0 & 0","0 & 1","1 & 0","3 & 0","0 & 0","1 & 0","1 & 0","0 & 1","0 & 0","1 & 0","0 & 0","1 & 0","0 & 1","1 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","1 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","2 & 0","0 & 0","0 & 0"
"Lucky","1 & 4","0 & 1","0 & 1","0 & 0","0 & 1","0 & 1","0 & 1","3 & 3","1 & 1","4 & 0","0 & 0","0 & 2","x","0 & 0","2 & 2","4 & 1","0 & 1","0 & 0","0 & 3","3 & 1","3 & 3","1 & 0","2 & 1","0 & 0","4 & 0","0 & 0","1 & 0","0 & 1","1 & 0","0 & 0","2 & 1","1 & 0","0 & 0","0 & 0","0 & 1","2 & 1","1 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","1 & 0","5 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 1","0 & 0","0 & 0","3 & 1","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 1","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0"
"IMT Shroomed","0 & 1","0 & 1","0 & 1","2 & 0","0 & 2","0 & 2","0 & 4","0 & 3","1 & 0","3 & 2","1 & 1","0 & 0","0 & 0","x","1 & 1","0 & 1","1 & 1","1 & 0","0 & 2","0 & 0","1 & 0","1 & 0","3 & 2","0 & 0","0 & 0","0 & 1","0 & 0","0 & 1","0 & 0","0 & 0","1 & 1","0 & 0","0 & 0","0 & 0","0 & 0","1 & 1","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","2 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","2 & 0","1 & 0","0 & 0","2 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"MSF La Luna","0 & 2","0 & 0","0 & 1","0 & 2","0 & 3","1 & 1","0 & 3","3 & 3","0 & 2","3 & 0","1 & 1","1 & 1","2 & 2","1 & 1","x","2 & 1","2 & 2","0 & 0","2 & 2","1 & 1","1 & 2","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 1","0 & 0","0 & 0","0 & 1","1 & 0","1 & 0","3 & 1","1 & 1","2 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","1 & 0","1 & 1","1 & 0","0 & 0","1 & 0","3 & 0","0 & 0","1 & 0","0 & 0","0 & 1","1 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","1 & 1","1 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","2 & 0","1 & 0","0 & 0","0 & 2","2 & 0","1 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"G2 Westballz","0 & 3","0 & 2","0 & 0","0 & 3","0 & 3","0 & 2","0 & 0","5 & 4","1 & 0","3 & 1","0 & 1","0 & 2","1 & 4","1 & 0","1 & 2","x","1 & 0","2 & 0","0 & 0","1 & 1","3 & 1","0 & 0","0 & 2","1 & 0","6 & 3","0 & 0","3 & 1","1 & 0","1 & 0","0 & 0","1 & 0","2 & 0","0 & 0","0 & 0","1 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","12 & 2","2 & 1","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","4 & 0","0 & 0","0 & 0","0 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0"
"Duck","0 & 5","0 & 2","0 & 1","0 & 2","0 & 0","1 & 1","3 & 2","1 & 2","0 & 1","0 & 1","0 & 0","0 & 0","1 & 0","1 & 1","2 & 2","0 & 1","x","0 & 0","0 & 1","0 & 2","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","3 & 1","4 & 0","0 & 1","1 & 1","0 & 0","0 & 0","2 & 6","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 1","2 & 0","1 & 0","1 & 0","0 & 0","0 & 0","1 & 0","2 & 0","1 & 0","2 & 0","0 & 2","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","2 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
"EGtv Crush","0 & 1","0 & 0","0 & 1","0 & 0","0 & 0","0 & 2","0 & 1","0 & 1","0 & 0","0 & 0","1 & 1","0 & 3","0 & 0","0 & 1","0 & 0","0 & 2","0 & 0","x","1 & 1","2 & 0","0 & 1","0 & 0","0 & 0","0 & 1","0 & 1","0 & 2","0 & 2","1 & 1","2 & 0","0 & 0","4 & 0","2 & 0","0 & 0","3 & 0","1 & 1","0 & 1","2 & 0","0 & 0","1 & 0","0 & 0","1 & 1","0 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 1","0 & 0","1 & 1","1 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","2 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 1","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","3 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0","1 & 0","0 & 0","0 & 0","1 & 0","0 & 0","1 & 0","1 & 0","1 & 0","0 & 0","0 & 0","0 & 0","0 & 0","0 & 0"
